Title,Link,Article Content
Как Россия может ответить на удары дальнобойными ракетами,https://news.mail.ru/politics/62779155/?utm_source=block_popular,"Эксперт Дмитрий Корнев проанализировал, как потенциальное разрешение Запада на использование Украине дальнобойных ракет может отразиться на фронтовой ситуации и вызвать ответные меры со стороны России."
Кремль: слова Путина о дальнобойном оружии достигли адресатов,https://news.mail.ru/politics/62783243/?utm_source=block_popular,Пресс-секретарь президента РФ прокомментировал заявление президента в свете возможного разрешения Украине атаковать российские цели.
Во Франции выступили с призывом после предупреждения Путина,https://news.mail.ru/politics/62783298/?utm_source=block_popular,"МОСКВА, 13 сен — РИА Новости. Франция должна прислушаться к предупреждению президента России Владимира Путина по Украине, написал лидер французской партии «Патриоты» Флориан Филиппо в соцсети X."
Песков прокомментировал слова Эрдогана о принадлежности Крыма,https://news.mail.ru/politics/62782179/?utm_source=block_popular,"МОСКВА, 13 сентября. /ТАСС/. Вопрос статуса Крыма остается среди разногласий между Москвой и Анкарой, однако Россия делает все возможное, чтобы убедить турецких друзей в верности своей позиции. Об этом заявил на брифинге пресс-секретарь президента РФ Дмитрий Песков, комментируя заявления турецкого президента Реджепа Тайипа Эрдогана об украинской принадлежности вошедшего в состав России в 2014 году полуострова."
МО РФ заявило о «новом измерении» после атаки на Курскую область,https://news.mail.ru/politics/62777470/?utm_source=block_popular,"Военная операция на Украине «приобрела новое измерение» после вторжения ВСУ в Курскую область, заявил замминистра обороны генерал-полковник Александр Фомин на Сяншаньском форуме по безопасности в Китае."
ФСБ получила доказательства подрывной работы Британии в РФ,https://news.mail.ru/incident/62777663/?utm_source=block_popular,"МОСКВА, 13 сен — РИА Новости. ФСБ получила документы, подтверждающие причастность Великобритании к эскалации международной военно-политической обстановки с целью нанесения стратегического поражения России, следует из заявления спецслужбы."
"Байден в ответ на слова Путина об ударах по РФ заявил, что не думает о нем много",https://news.mail.ru/politics/62791875/,No content
Какой стул выбрать для школьника: топ-6 моделей и советы экспертов,https://news.mail.ru/economics/62792161/,No content
"В ИКИ РАН заявили, что аппаратура для миссий «Луна-26» и «Луна-27» практически создана",https://vfokuse.mail.ru/article/v-iki-ran-zayavili-chto-apparatura-dlya-missiy-luna-26-i-luna-27-prakticheski-sozdana-62792099/,"МОСКВА, 14 сентября. /ТАСС/. Работы по созданию комплекса научной аппаратуры для автоматических станций «Луна-26» и «Луна-27» практически завершены, заявил в интервью ТАСС научный руководитель Института космических исследований (ИКИ) РАН, научный руководитель первого этапа лунной программы РФ академик Лев Зеленый."
"У берегов Японии произошло землетрясение магнитудой 5,8",https://pogoda.mail.ru/news/62791855/,No content
